""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"RLTR19A"	1224.84547057524	-0.0556766785912569	0.0762684912915315	-0.730310825219811	0.4652002127444	0.999457336074246
"U13_"	50.0354364615319	-0.011717100844394	0.0271635344543453	-0.431752722627052	0.665921144065223	NA
"(GGCTG)n"	1679.60527108339	0.0530401004996827	0.0716628708897745	0.740650860852592	0.458905161032476	0.999457336074246
"MLT1F2-int"	556.807189150317	-0.0125861548746815	0.0725278830364855	-0.17365070097765	0.862139983672111	0.999457336074246
"Eulor5A"	300.874667020036	-0.0846979502113992	0.0682094745178983	-1.2435441439716	0.21366738447705	NA
"LTR85b"	553.06319673707	0.128732187509732	0.0724110109111194	1.78099694216443	0.0749129502822493	0.999457336074246
"(CGA)n"	210.336824569503	-0.0454047179778456	0.0527410578530935	-0.861942966847828	0.388718903267832	NA
"LTR86B2"	198.658588493836	-0.0346462301405133	0.0577961161188938	-0.600810243742119	0.547966380495671	NA
"MER106A"	476.522657206543	0.075263585400576	0.0695398615463032	1.08225119038327	0.27914092785177	0.999457336074246
"MLT1F1-int"	578.044288050883	0.126830349131898	0.075439899839154	1.68198260733835	0.0925722126007943	0.999457336074246
